,ticket_nmbr,STATUS,assigned_group,PARENT_SERVICE,service,CHANGE_DATE,TIME_IN_STATUS_BY_OWNER_HRS
68,IN10028640,PENDINGREV,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,04NOV2016:14:47:36,12
133,IN10028659,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,07NOV2016:09:59:41,317
383,IN10028728,PENDINGREV,DC000113,Midrange,Midrange,07NOV2016:10:12:34,103
402,IN10028732,PENDINGREV,EDC00026,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,04APR2016:15:14:26,0
446,IN10028741,PENDINGREV,EDC00026,Data Centre Facilities Management,Facilities - Data Centre Facilities Power & Space,04APR2016:15:26:34,0
452,IN10028742,PENDINGREV,EDC00098,Other Activities,Other - Security,07APR2016:08:26:53,1062
663,IN10028805,PENDINGREV,ITS00309,Secure Remote Access,Secure Remote Access,07NOV2016:10:18:00,91
673,IN10028810,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,04APR2016:12:26:22,0
1132,IN10028927,PENDINGREV,NW000440,Fixed Line,Fixed - PBX,08NOV2016:09:37:47,134
1213,IN10028951,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,11NOV2016:14:22:58,225
1252,IN10028960,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,21JUL2016:07:32:07,7
1474,IN10029018,PENDINGREV,NW000403,Intra-building Network Services,IBN - GC LAN,07NOV2016:10:40:04,14
1504,IN10029023,PENDINGREV,NW000431,GC WAN,GC WAN,07NOV2016:13:08:22,0
1513,IN10029024,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,07NOV2016:13:08:35,121
1713,IN10029114,PENDINGREV,NW000410,Conferencing Services,Conferencing - Videoconferencing,07NOV2016:10:50:24,8
1913,IN10029156,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,08APR2016:09:17:22,23
1961,IN10029165,PENDINGREV,NW000445,Intra-building Network Services,IBN - GC LAN,07NOV2016:10:55:20,388
2049,IN10029185,PENDINGREV,DC000141,Middleware,Middleware,07NOV2016:10:59:12,0
2050,IN10029185,PENDINGREV,ESI00011,Other Activities,Other - Service Management,08NOV2016:08:43:56,4
2055,IN10029186,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,08APR2016:12:33:28,17
2164,IN10029210,PENDINGREV,DC000117,Storage,Storage,28APR2016:08:43:24,92
2186,IN10029215,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,07NOV2016:11:39:14,498
2187,IN10029215,PENDINGREV,ESI00011,Other Activities,Other - Service Management,10JAN2017:16:26:57,73
2407,IN10029262,PENDINGREV,ITS00307,Secure Remote Access,Secure Remote Access,07NOV2016:11:41:58,2
2765,IN10029347,PENDINGREV,NW000436,Fixed Line,Fixed Line,07NOV2016:11:45:35,100
2947,IN10029385,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:11:52:27,1291
2973,IN10029390,PENDINGREV,ENT00042,Intra-building Network Services,IBN - Data Centre Network,13APR2016:10:04:25,14
2974,IN10029390,PENDINGREV,NW000430,Intra-building Network Services,IBN - Data Centre Network,14APR2016:11:21:38,39
2975,IN10029390,PENDINGREV,EDC00096,Midrange,Midrange,14APR2016:11:22:42,39
3266,IN10029451,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,11NOV2016:14:40:50,43
3693,IN10029552,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,14APR2016:07:57:10,2
3929,IN10029604,PENDINGREV,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,16MAY2016:16:08:50,122
3940,IN10029606,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,22APR2016:10:00:24,16
4016,IN10029620,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:11:57:09,16
4090,IN10029638,PENDINGREV,NW000440,Fixed Line,Fixed - PBX,15APR2016:07:24:58,646
4229,IN10029672,PENDINGREV,DC000141,Middleware,Middleware,07NOV2016:12:05:32,121
4230,IN10029672,PENDINGREV,ESI00011,Other Activities,Other - Service Management,24NOV2016:10:38:35,3
4299,IN10029688,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,22APR2016:10:01:42,0
4330,IN10029694,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,07NOV2016:12:09:39,404
4331,IN10029694,PENDINGREV,ESI00011,Other Activities,Other - Service Management,04JAN2017:09:31:14,26
4338,IN10029695,PENDINGREV,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),27APR2016:10:34:57,738
4444,IN10029721,PENDINGREV,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,07NOV2016:12:15:07,381
4487,IN10029732,PENDINGREV,ENT00008,Mobile Devices,Mobile Devices,07NOV2016:12:18:33,113
4488,IN10029732,PENDINGREV,ESI00011,Other Activities,Other - Service Management,22NOV2016:12:51:44,13
4489,IN10029732,PENDINGREV,ENT00015,Intra-building Network Services,IBN - Data Centre Network,23NOV2016:11:25:02,4
4497,IN10029733,PENDINGREV,ENT00008,Mobile Devices,Mobile Devices,07NOV2016:12:23:07,113
4498,IN10029733,PENDINGREV,ESI00011,Other Activities,Other - Service Management,22NOV2016:12:53:21,13
4499,IN10029733,PENDINGREV,ENT00015,Intra-building Network Services,IBN - Data Centre Network,23NOV2016:11:30:00,4
4594,IN10029760,PENDINGREV,ITS00322,Directory Services,Directory Services,11NOV2016:14:46:12,0
4864,IN10029819,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,20APR2016:12:45:47,1
5001,IN10029852,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:12:25:33,1257
5002,IN10029852,PENDINGREV,ESI00011,Other Activities,Other - Service Management,04MAY2017:13:13:20,37
5003,IN10029852,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,04MAY2017:13:47:12,0
5301,IN10029933,PENDINGREV,NW000405,Intra-building Network Services,IBN - GC LAN,19APR2016:23:04:39,0
5545,IN10029990,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,20APR2016:14:13:52,480
5546,IN10029990,PENDINGREV,NW000440,Fixed Line,Fixed - PBX,20APR2016:14:17:57,480
5668,IN10030017,PENDINGREV,DC000129,High-performance Computing,High-performance Computing,21APR2016:11:01:07,10
5881,IN10030068,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,06JUN2016:07:06:40,153
5931,IN10030080,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,10NOV2016:09:37:30,0
6077,IN10030112,PENDINGREV,NDS00026,Midrange,Midrange,24APR2016:07:57:38,932
6078,IN10030112,PENDINGREV,NW000417,GC WAN,GC WAN,08JUN2016:07:30:24,622
6113,IN10030121,PENDINGREV,DC000130,High-performance Computing,HPC - Interaction & Visualization,22APR2016:11:50:21,219
6538,IN10030225,PENDINGREV,ESI00026,Other Activities,Other - Internal Services & Strategy,05MAY2016:11:59:45,24
6708,IN10030264,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:12:32:31,1239
6749,IN10030272,PENDINGREV,EU000203,Storage,Storage - File,26APR2016:08:11:23,0
6807,IN10030284,PENDINGREV,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,07NOV2016:12:35:33,380
6880,IN10030300,PENDINGREV,DC000113,Midrange,Midrange,07NOV2016:12:46:02,189
6975,IN10030320,PENDINGREV,NW000436,Fixed Line,Fixed Line,07NOV2016:12:53:45,70
6981,IN10030322,PENDINGREV,NW000417,GC WAN,GC WAN,29APR2016:18:08:01,1
7073,IN10030340,PENDINGREV,NW000436,Fixed Line,Fixed Line,07NOV2016:13:16:43,380
7094,IN10030344,PENDINGREV,NW000412,Fixed Line,Fixed Line,13JUL2016:12:29:23,15
7194,IN10030366,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,07NOV2016:13:59:17,398
7195,IN10030366,PENDINGREV,ESI00011,Other Activities,Other - Service Management,04JAN2017:09:36:59,22
7386,IN10030412,PENDINGREV,NW000412,Fixed Line,Fixed Line,07NOV2016:14:04:02,428
7514,IN10030443,PENDINGREV,EDC00009,Midrange,Midrange,04MAY2016:10:01:50,2
7779,IN10030507,PENDINGREV,NW000405,Intra-building Network Services,IBN - GC LAN,09JUN2016:19:32:19,91
8131,IN10030587,PENDINGREV,NW000451,Intra-building Network Services,IBN - GC LAN,07NOV2016:14:17:38,236
8133,IN10030587,PENDINGREV,ESI00011,Other Activities,Other - Service Management,08DEC2016:12:29:58,0
8190,IN10030599,PENDINGREV,DC000113,Midrange,Midrange,07NOV2016:14:22:54,290
8390,IN10030642,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:14:40:09,383
8391,IN10030642,PENDINGREV,ESI00011,Other Activities,Other - Service Management,30DEC2016:10:40:17,12
8392,IN10030642,PENDINGREV,ESI00028,Other Activities,Other - Security,03JAN2017:12:20:40,0
8411,IN10030644,PENDINGREV,ITS00306,Other Activities,Other - Security,07NOV2016:14:48:05,367
8412,IN10030644,PENDINGREV,ESI00011,Other Activities,Other - Service Management,30DEC2016:10:44:07,11
8417,IN10030645,PENDINGREV,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,28APR2016:20:21:50,10
8437,IN10030652,PENDINGREV,NW000412,Fixed Line,Fixed Line,29APR2016:10:29:32,1
8539,IN10030675,PENDINGREV,ENT00016,Conferencing Services,Conferencing - Videoconferencing,08NOV2016:09:43:18,6
8694,IN10030710,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,08NOV2016:09:52:10,66
8868,IN10030752,PENDINGREV,DC000120,Midrange,Midrange - Windows -X86,24MAY2016:15:44:00,141
8914,IN10030760,PENDINGREV,NW000425,GC WAN,GC WAN,08NOV2016:10:24:40,6
8931,IN10030763,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,08NOV2016:10:29:26,80
8978,IN10030774,PENDINGREV,NW000417,GC WAN,GC WAN,08NOV2016:10:32:44,1136
8979,IN10030774,PENDINGREV,EU000203,Storage,Storage - File,24APR2017:14:26:08,0
9068,IN10030792,PENDINGREV,NW000429,Email,Email,06MAY2016:17:00:00,230
9370,IN10030858,PENDINGREV,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,11NOV2016:14:55:58,100
9416,IN10030866,PENDINGREV,DC000141,Middleware,Middleware,08NOV2016:10:37:07,342
9417,IN10030866,PENDINGREV,ESI00011,Other Activities,Other - Service Management,14NOV2016:13:19:10,39
9418,IN10030866,PENDINGREV,NW000405,Intra-building Network Services,IBN - GC LAN,17NOV2016:10:42:59,0
9429,IN10030867,PENDINGREV,ITS00308,Other Activities,Other - Security,10NOV2016:09:37:48,669
9475,IN10030877,PENDINGREV,DC000141,Middleware,Middleware,08NOV2016:10:45:34,883
9573,IN10030898,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,03MAY2016:12:02:51,0
9662,IN10030916,PENDINGREV,ITS00304,Other Activities,Other - Security,08NOV2016:10:48:01,110
9869,IN10030960,PENDINGREV,ENT00039,GC WAN,GC WAN,08NOV2016:10:57:08,409
9870,IN10030960,PENDINGREV,ESI00011,Other Activities,Other - Service Management,09JAN2017:13:02:35,7
10001,IN10030984,PENDINGREV,NW000405,Intra-building Network Services,IBN - GC LAN,06MAY2016:11:39:01,18
10214,IN10031031,PENDINGREV,EDC00008,Email,Email,05MAY2016:09:37:26,0
10283,IN10031047,PENDINGREV,NW000431,GC WAN,GC WAN,31MAY2016:07:59:36,72
10472,IN10031089,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,12NOV2016:15:12:46,116
10627,IN10031123,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,08NOV2016:11:02:54,1231
10651,IN10031129,PENDINGREV,DC000107,Data Centre Facilities Management,Data Centre Facilities Management,08NOV2016:11:05:38,662
10652,IN10031129,PENDINGREV,EDC00066,Other Activities,Other - Service Management,20JAN2017:12:03:05,1089
10653,IN10031129,PENDINGREV,NW000405,Intra-building Network Services,IBN - GC LAN,20JAN2017:12:51:56,230
10907,IN10031197,PENDINGREV,EDC00098,Other Activities,Other - Security,08NOV2016:11:18:07,491
10908,IN10031197,PENDINGREV,ESI00011,Other Activities,Other - Service Management,13JAN2017:13:11:25,49
11056,IN10031229,PENDINGREV,NW000403,Intra-building Network Services,IBN - GC LAN,01JUN2016:17:47:58,166
11242,IN10031264,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,06JUN2016:07:25:03,70
11243,IN10031264,PENDINGREV,DC000110,Data Centre Facilities Management,Data Centre Facilities Management,06JUN2016:08:20:16,70
11244,IN10031264,PENDINGREV,ESI00011,Other Activities,Other - Service Management,06JUN2016:08:25:57,70
11245,IN10031264,PENDINGREV,NW000412,Fixed Line,Fixed Line,11JUN2016:07:26:45,21
11336,IN10031284,PENDINGREV,NW000412,Fixed Line,Fixed Line,12NOV2016:15:39:52,13
11510,IN10031320,PENDINGREV,NW000451,Intra-building Network Services,IBN - GC LAN,08NOV2016:11:30:16,109
11773,IN10031378,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,12NOV2016:16:03:05,475
11774,IN10031378,PENDINGREV,ESI00011,Other Activities,Other - Service Management,20DEC2016:14:09:37,13
12329,IN10031508,PENDINGREV,NW000451,Intra-building Network Services,IBN - GC LAN,08NOV2016:11:34:05,109
12638,IN10031579,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,12MAY2016:11:33:38,19
12695,IN10031590,PENDINGREV,NW000431,GC WAN,GC WAN,13MAY2016:12:00:00,2
12712,IN10031593,PENDINGREV,DC000113,Midrange,Midrange,08NOV2016:11:37:47,240
12734,IN10031598,PENDINGREV,DC000170,Data Centre Facilities Management,Data Centre Facilities Management,08NOV2016:11:40:17,5
12747,IN10031600,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,08NOV2016:12:07:09,441
12771,IN10031609,PENDINGREV,ITS00308,Other Activities,Other - Security,13JUN2016:10:32:12,0
12858,IN10031627,PENDINGREV,NW000420,Intra-building Network Services,Intra-building Network Services,12MAY2016:15:18:43,0
12929,IN10031645,PENDINGREV,ITS00309,Secure Remote Access,Secure Remote Access,12MAY2016:20:14:53,2
12930,IN10031645,PENDINGREV,ITS00307,Secure Remote Access,Secure Remote Access,13MAY2016:07:54:06,0
13044,IN10031674,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,11NOV2016:16:34:10,384
13045,IN10031674,PENDINGREV,ESI00011,Other Activities,Other - Service Management,04JAN2017:09:41:18,41
13063,IN10031679,PENDINGREV,ENT00040,Other Activities,Other - Internal Services & Strategy,08NOV2016:13:55:30,239
13151,IN10031699,PENDINGREV,NW000428,Email,Email,08NOV2016:13:35:14,45
13152,IN10031699,PENDINGREV,EDC00006,Mobile Devices,Mobile - Enterprise Mobile Device Management (EMDM),08NOV2016:14:28:52,44
13153,IN10031699,PENDINGREV,ESI00011,Other Activities,Other - Service Management,09NOV2016:08:28:21,40
13164,IN10031702,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,13MAY2016:16:13:45,0
13227,IN10031713,PENDINGREV,ITS00306,Other Activities,Other - Security,08NOV2016:14:06:37,277
13404,IN10031753,PENDINGREV,NW000409,Mobile Devices,Mobile - Mobile Device - Government Cellular Services,12NOV2016:16:40:47,10
13435,IN10031759,PENDINGREV,NDS00033,Other Activities,Other - Security,08NOV2016:14:23:16,0
13690,IN10031819,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,20JUN2016:12:59:08,0
13821,IN10031847,PENDINGREV,DC000113,Midrange,Midrange,08NOV2016:14:31:47,301
13822,IN10031847,PENDINGREV,ESI00011,Other Activities,Other - Service Management,19DEC2016:10:20:50,25
13856,IN10031855,PENDINGREV,DC000132,High-performance Computing,High-performance Computing,16MAY2016:19:50:33,0
13881,IN10031860,PENDINGREV,ITS00308,Other Activities,Other - Security,09NOV2016:09:13:40,955
13893,IN10031862,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,16MAY2016:13:58:58,25
14210,IN10031950,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,17MAY2016:13:18:40,11
14447,IN10032006,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,20MAY2016:09:38:55,51
14598,IN10032044,PENDINGREV,ESI00026,Other Activities,Other - Internal Services & Strategy,08NOV2016:13:38:31,240
14617,IN10032049,PENDINGREV,EDC00002,Midrange,Midrange - Windows -X86,18MAY2016:22:50:50,3
14700,IN10032067,PENDINGREV,EDC00001,Midrange,Midrange - Storage and Virtualization,14JUN2016:15:41:34,223
14701,IN10032067,PENDINGREV,DC000156,Midrange,Midrange - Windows -X86,15JUN2016:11:45:17,217
14753,IN10032083,PENDINGREV,EDC00002,Midrange,Midrange - Windows -X86,19MAY2016:13:50:34,13
14871,IN10032112,PENDINGREV,DC000107,Data Centre Facilities Management,Data Centre Facilities Management,10NOV2016:09:39:04,464
15034,IN10032154,PENDINGREV,NW000403,Intra-building Network Services,IBN - GC LAN,09NOV2016:09:20:27,547
15035,IN10032154,PENDINGREV,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,03JAN2017:12:05:28,194
15068,IN10032159,PENDINGREV,NW000400,Intra-building Network Services,IBN - Data Centre Network,08NOV2016:13:41:01,294
15069,IN10032159,PENDINGREV,NW000459,GC WAN,GC WAN,23NOV2016:18:32:40,207
15104,IN10032166,PENDINGREV,NW000414,Contact Centre,Contact Centre,09NOV2016:09:26:22,15
15173,IN10032178,PENDINGREV,NW000417,GC WAN,GC WAN,22MAY2016:13:01:16,20
15194,IN10032184,PENDINGREV,NW000417,GC WAN,GC WAN,22MAY2016:13:07:06,20
15271,IN10032204,PENDINGREV,NW000417,GC WAN,GC WAN,21MAY2016:19:12:11,20
15416,IN10032240,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,26MAY2016:13:30:57,106
15417,IN10032240,PENDINGREV,NW000412,Fixed Line,Fixed Line,26MAY2016:14:00:16,106
15617,IN10032291,PENDINGREV,EDC00010,Directory Services,Directory Services,11NOV2016:08:45:45,1
15692,IN10032306,PENDINGREV,ESI00026,Other Activities,Other - Internal Services & Strategy,09NOV2016:09:42:25,481
15693,IN10032306,PENDINGREV,ESI00019,Other Activities,Other - Service Management,05JAN2017:17:25:22,218
15717,IN10032310,PENDINGREV,NW000404,Intra-building Network Services,IBN - Cabling - Install and Material,08NOV2016:13:47:26,7
15724,IN10032311,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:01:13,726
15761,IN10032319,PENDINGREV,ENT00009,Mobile Devices,Mobile Devices,11NOV2016:18:17:57,276
15812,IN10032330,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:03:05,20
15823,IN10032332,PENDINGREV,NW000417,GC WAN,GC WAN,09NOV2016:09:48:24,12
15834,IN10032334,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:00:20,9
15861,IN10032341,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:02:42,20
15877,IN10032344,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:15:59:38,19
15882,IN10032345,PENDINGREV,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,25MAY2016:12:10:11,3
15936,IN10032357,PENDINGREV,DC000127,High-performance Computing,HPC -Big Data Exchange,25MAY2016:16:00:48,9
15985,IN10032369,PENDINGREV,ITS00308,Other Activities,Other - Security,09NOV2016:09:55:53,4
16045,IN10032382,PENDINGREV,ESI00011,Other Activities,Other - Service Management,08JUN2016:16:24:30,37
16123,IN10032399,PENDINGREV,NW000417,GC WAN,GC WAN,25MAY2016:20:48:36,7
16155,IN10032409,PENDINGREV,ITS00306,Other Activities,Other - Security,09NOV2016:10:20:50,1
16364,IN10032456,PENDINGREV,DC000111,Data Centre Facilities Management,Data Centre Facilities Management,30MAY2016:19:48:38,17
16419,IN10032470,PENDINGREV,ITS00308,Other Activities,Other - Security,09NOV2016:10:25:05,396
16438,IN10032473,PENDINGREV,NW000408,Fixed Line,Fixed - VoIP,26MAY2016:13:37:21,65
16620,IN10032514,PENDINGREV,NW000417,GC WAN,GC WAN,30MAY2016:09:06:06,42
16766,IN10032546,PENDINGREV,NW000417,GC WAN,GC WAN,09NOV2016:10:37:15,1120
16829,IN10032555,PENDINGREV,ENT00026,GC WAN,GC WAN,09NOV2016:10:42:18,347
16830,IN10032555,PENDINGREV,NW000400,Intra-building Network Services,IBN - Data Centre Network,08DEC2016:08:27:21,149
16831,IN10032555,PENDINGREV,ESI00046,Other Activities,Other - Service Management,09DEC2016:11:08:20,136
16832,IN10032555,PENDINGREV,ESI00011,Other Activities,Other - Service Management,22DEC2016:09:17:31,48
16833,IN10032555,PENDINGREV,NW000402,Intra-building Network Services,Intra-building Network Services,29DEC2016:14:24:45,13
16834,IN10032555,PENDINGREV,ESI00028,Other Activities,Other - Security,30DEC2016:10:10:03,1
17069,IN10032611,PENDINGREV,DC000115,Midrange,Midrange - Windows -X86,09NOV2016:10:45:01,6
17149,IN10032634,PENDINGREV,ITS00311,Other Activities,Other - Security,09NOV2016:10:54:25,332
17150,IN10032634,PENDINGREV,NW000429,Email,Email,29DEC2016:09:24:25,4
